#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
gi|357579600|ref|NC_006613.3| Canis lupus familiaris breed boxer chromosome 31, CanFam3.1, whole genome shotgun sequence	0.00011	0.00121	0.00000	0.00000	8	0
gi|357579609|ref|NC_006604.3| Canis lupus familiaris breed boxer chromosome 22, CanFam3.1, whole genome shotgun sequence	0.00009	0.00091	0.00000	0.00000	6	0
gi|357579596|ref|NC_006617.3| Canis lupus familiaris breed boxer chromosome 35, CanFam3.1, whole genome shotgun sequence	0.00009	0.00091	0.00000	0.00000	6	0
gi|357579622|ref|NC_006591.3| Canis lupus familiaris breed boxer chromosome 9, CanFam3.1, whole genome shotgun sequence	0.00007	0.00075	0.00000	0.00000	5	0
gi|357579603|ref|NC_006610.3| Canis lupus familiaris breed boxer chromosome 28, CanFam3.1, whole genome shotgun sequence	0.00007	0.00075	0.00000	0.00000	5	0
gi|357579627|ref|NC_006586.3| Canis lupus familiaris breed boxer chromosome 4, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579621|ref|NC_006592.3| Canis lupus familiaris breed boxer chromosome 10, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579619|ref|NC_006594.3| Canis lupus familiaris breed boxer chromosome 12, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579616|ref|NC_006597.3| Canis lupus familiaris breed boxer chromosome 15, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579612|ref|NC_006601.3| Canis lupus familiaris breed boxer chromosome 19, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579601|ref|NC_006612.3| Canis lupus familiaris breed boxer chromosome 30, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579597|ref|NC_006616.3| Canis lupus familiaris breed boxer chromosome 34, CanFam3.1, whole genome shotgun sequence	0.00006	0.00060	0.00000	0.00000	4	0
gi|357579625|ref|NC_006588.3| Canis lupus familiaris breed boxer chromosome 6, CanFam3.1, whole genome shotgun sequence	0.00004	0.00045	0.00000	0.00000	3	0
gi|357579608|ref|NC_006605.3| Canis lupus familiaris breed boxer chromosome 23, CanFam3.1, whole genome shotgun sequence	0.00004	0.00045	0.00000	0.00000	3	0
gi|357579592|ref|NC_006621.3| Canis lupus familiaris breed boxer chromosome X, CanFam3.1, whole genome shotgun sequence	0.00004	0.00045	0.00000	0.00000	3	0
gi|408526175|ref|NC_018734.1| Felis catus isolate Cinnamon breed Abyssinian chromosome D3, Felis_catus-6.2, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579613|ref|NC_006600.3| Canis lupus familiaris breed boxer chromosome 18, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579607|ref|NC_006606.3| Canis lupus familiaris breed boxer chromosome 24, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579606|ref|NC_006607.3| Canis lupus familiaris breed boxer chromosome 25, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579605|ref|NC_006608.3| Canis lupus familiaris breed boxer chromosome 26, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579598|ref|NC_006615.3| Canis lupus familiaris breed boxer chromosome 33, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579595|ref|NC_006618.3| Canis lupus familiaris breed boxer chromosome 36, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
gi|357579593|ref|NC_006620.3| Canis lupus familiaris breed boxer chromosome 38, CanFam3.1, whole genome shotgun sequence	0.00003	0.00030	0.00000	0.00000	2	0
NC_000072.6 Mus musculus strain C57BL/6J chromosome 6, GRCm38.p3 C57BL/6J	0.00001	0.00014	0.00000	0.00000	1	0
